###
K2b, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-70, 0.00, 1.22, 2.45, 3.67, 4.90, 6.12, 7.35, 8.57, 9.80, 11.02, 12.24, 13.47, 14.69, 15.92, 17.14, 18.37, 19.59, 20.82, 22.04, 23.27, 24.49, 25.71, 26.94, 28.16, 29.39, 30.61, 31.84, 33.06, 34.29, 35.51, 36.73, 37.96, 39.18, 40.41, 41.63, 42.86, 44.08, 45.31, 46.53, 47.76, 48.98, 50.20, 51.43, 52.65, 53.88, 55.10, 56.33, 57.55, 58.78, 60.00, 61.22, 62.45, 63.67, 64.90, 66.12, 67.35, 68.57, 69.80, 71.02, 72.24, 73.47, 74.69, 75.92, 77.14, 78.37, 79.59, 80.82, 82.04, 83.27, 84.49, 85.71, 86.94, 88.16, 89.39, 90.61, 91.84, 93.06, 94.29, 95.51, 96.73, 97.96, 99.18, 100.41, 101.63, 102.86, 104.08, 105.31, 106.53, 107.76, 108.98, 110.20, 111.43, 112.65, 113.88, 115.10, 116.33, 117.55, 118.78, 120.00
###
K3a, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-70, 20.00, 19.80, 19.59, 19.39, 19.18, 18.98, 18.78, 18.57, 18.37, 18.16, 17.96, 17.76, 17.55, 17.35, 17.14, 16.94, 16.73, 16.53, 16.33, 16.12, 15.92, 15.71, 15.51, 15.31, 15.10, 14.90, 14.69, 14.49, 14.29, 14.08, 13.88, 13.67, 13.47, 13.27, 13.06, 12.86, 12.65, 12.45, 12.24, 12.04, 11.84, 11.63, 11.43, 11.22, 11.02, 10.82, 10.61, 10.41, 10.20, 10.00, 9.80, 9.59, 9.39, 9.18, 8.98, 8.78, 8.57, 8.37, 8.16, 7.96, 7.76, 7.55, 7.35, 7.14, 6.94, 6.73, 6.53, 6.33, 6.12, 5.92, 5.71, 5.51, 5.31, 5.10, 4.90, 4.69, 4.49, 4.29, 4.08, 3.88, 3.67, 3.47, 3.27, 3.06, 2.86, 2.65, 2.45, 2.24, 2.04, 1.84, 1.63, 1.43, 1.22, 1.02, 0.82, 0.61, 0.41, 0.20, 0.00
###
K3b, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-70, 50.00, 49.49, 48.98, 48.47, 47.96, 47.45, 46.94, 46.43, 45.92, 45.41, 44.90, 44.39, 43.88, 43.37, 42.86, 42.35, 41.84, 41.33, 40.82, 40.31, 39.80, 39.29, 38.78, 38.27, 37.76, 37.24, 36.73, 36.22, 35.71, 35.20, 34.69, 34.18, 33.67, 33.16, 32.65, 32.14, 31.63, 31.12, 30.61, 30.10, 29.59, 29.08, 28.57, 28.06, 27.55, 27.04, 26.53, 26.02, 25.51, 25.00, 24.49, 23.98, 23.47, 22.96, 22.45, 21.94, 21.43, 20.92, 20.41, 19.90, 19.39, 18.88, 18.37, 17.86, 17.35, 16.84, 16.33, 15.82, 15.31, 14.80, 14.29, 13.78, 13.27, 12.76, 12.24, 11.73, 11.22, 10.71, 10.20, 9.69, 9.18, 8.67, 8.16, 7.65, 7.14, 6.63, 6.12, 5.61, 5.10, 4.59, 4.08, 3.57, 3.06, 2.55, 2.04, 1.53, 1.02, 0.51, 0.00
###
