F1, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
40-49, 57, 55.975, 54.95, 53.925, 52.9, 52.54, 52.18, 51.82, 51.46, 51.1, 50.58, 50.06, 49.54, 49.02, 48.5, 48.16, 47.82, 47.48, 47.14, 46.8, 46.52, 46.24, 45.96, 45.68, 45.4, 45.16, 44.92, 44.68, 44.44, 44.2, 44.14, 44.08, 44.02, 43.96, 43.9, 43.6, 43.3, 43, 42.7, 42.4, 42.12, 41.84, 41.56, 41.28, 41, 40.88, 40.76, 40.64, 40.52, 40.4, 40.22, 40.04, 39.86, 39.68, 39.5, 39.28, 39.06, 38.84, 38.62, 38.4, 38.24, 38.08, 37.92, 37.76, 37.6, 37.42, 37.24, 37.06, 36.88, 36.7, 36.5, 36.3, 36.1, 35.9, 35.7, 35.48, 35.26, 35.04, 34.82, 34.6, 34.36, 34.12, 33.88, 33.64, 33.4, 33.08, 32.76, 32.44, 32.12, 31.8, 31.32, 30.84, 30.36, 29.88, 29.4, 28.325, 27.25, 26.175, 25.1
50-59, 54.3, 53.15, 52, 50.85, 49.7, 49.12, 48.54, 47.96, 47.38, 46.8, 46.36, 45.92, 45.48, 45.04, 44.6, 44.34, 44.08, 43.82, 43.56, 43.3, 43, 42.7, 42.4, 42.1, 41.8, 41.64, 41.48, 41.32, 41.16, 41, 40.7, 40.4, 40.1, 39.8, 39.5, 39.26, 39.02, 38.78, 38.54, 38.3, 38.26, 38.22, 38.18, 38.14, 38.1, 37.82, 37.54, 37.26, 36.98, 36.7, 36.68, 36.66, 36.64, 36.62, 36.6, 36.32, 36.04, 35.76, 35.48, 35.2, 34.94, 34.68, 34.42, 34.16, 33.9, 33.76, 33.62, 33.48, 33.34, 33.2, 33.02, 32.84, 32.66, 32.48, 32.3, 32.06, 31.82, 31.58, 31.34, 31.1, 30.84, 30.58, 30.32, 30.06, 29.8, 29.52, 29.24, 28.96, 28.68, 28.4, 27.88, 27.36, 26.84, 26.32, 25.8, 24.675, 23.55, 22.425, 21.3
60-69, 51.1, 49.85, 48.6, 47.35, 46.1, 45.52, 44.94, 44.36, 43.78, 43.2, 42.76, 42.32, 41.88, 41.44, 41, 40.7, 40.4, 40.1, 39.8, 39.5, 39.22, 38.94, 38.66, 38.38, 38.1, 37.82, 37.54, 37.26, 36.98, 36.7, 36.54, 36.38, 36.22, 36.06, 35.9, 35.72, 35.54, 35.36, 35.18, 35, 34.78, 34.56, 34.34, 34.12, 33.9, 33.74, 33.58, 33.42, 33.26, 33.1, 32.94, 32.78, 32.62, 32.46, 32.3, 32.12, 31.94, 31.76, 31.58, 31.4, 31.24, 31.08, 30.92, 30.76, 30.6, 30.36, 30.12, 29.88, 29.64, 29.4, 29.26, 29.12, 28.98, 28.84, 28.7, 28.44, 28.18, 27.92, 27.66, 27.4, 27.1, 26.8, 26.5, 26.2, 25.9, 25.54, 25.18, 24.82, 24.46, 24.1, 23.7, 23.3, 22.9, 22.5, 22.1, 21.225, 20.35, 19.475, 18.6
70-79, 49.7, 47.875, 46.05, 44.225, 42.4, 41.82, 41.24, 40.66, 40.08, 39.5, 39.22, 38.94, 38.66, 38.38, 38.1, 37.68, 37.26, 36.84, 36.42, 36, 35.68, 35.36, 35.04, 34.72, 34.4, 34.12, 33.84, 33.56, 33.28, 33, 32.86, 32.72, 32.58, 32.44, 32.3, 32.02, 31.74, 31.46, 31.18, 30.9, 30.76, 30.62, 30.48, 30.34, 30.2, 30.04, 29.88, 29.72, 29.56, 29.4, 29.22, 29.04, 28.86, 28.68, 28.5, 28.4, 28.3, 28.2, 28.1, 28, 27.82, 27.64, 27.46, 27.28, 27.1, 26.88, 26.66, 26.44, 26.22, 26, 25.82, 25.64, 25.46, 25.28, 25.1, 24.82, 24.54, 24.26, 23.98, 23.7, 23.4, 23.1, 22.8, 22.5, 22.2, 21.92, 21.64, 21.36, 21.08, 20.8, 20.5, 20.2, 19.9, 19.6, 19.3, 18.95, 18.6, 18.25, 17.9
###
F3, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-29, 57.524, 57.143, 56.762, 56.381, 56, 55.06, 54.12, 53.18, 52.24, 51.3, 50.7, 50.1, 49.5, 48.9, 48.3, 47.94, 47.58, 47.22, 46.86, 46.5, 46.14, 45.78, 45.42, 45.06, 44.7, 44.4, 44.1, 43.8, 43.5, 43.2, 42.88, 42.56, 42.24, 41.92, 41.6, 41.4, 41.2, 41, 40.8, 40.6, 40.26, 39.92, 39.58, 38.24, 38.9, 38.64, 38.38, 38.12, 37.86, 37.6, 37.26, 36.92, 36.58, 36.24, 35.9, 35.64, 35.38, 35.12, 30.46, 34.6, 34.4, 34.2, 34, 33.8, 33.6, 33.28, 32.96, 32.64, 32.32, 32, 31.7, 31.4, 31.1, 30.8, 30.5, 30.12, 29.74, 29.36, 28.98, 28.6, 28.12, 27.64, 27.16, 26.68, 26.2, 25.74, 25.28, 24.82, 24.36, 23.9, 23.46, 23.02, 22.58, 22.14, 21.7, 21.319, 20.938, 20.557, 20.176
30-39, 46.9912, 46.6934, 46.3956, 46.0978, 45.8, 44.92, 44.04, 43.16, 42.28, 41.4, 40.98, 40.56, 40.14, 39.72, 39.3, 38.94, 38.58, 38.22, 37.86, 37.5, 37.22, 36.94, 36.66, 36.38, 36.1, 35.8, 35.5, 35.2, 34.9, 34.6, 34.38, 34.16, 33.94, 33.72, 33.5, 33.24, 32.98, 32.72, 32.46, 32.2, 32, 31.8, 31.6, 31.4, 31.2, 31, 30.8, 30.6, 30.4, 30.2, 30.02, 29.84, 29.66, 29.48, 29.3, 29.08, 28.86, 28.64, 28.42, 28.2, 28.04, 27.88, 27.72, 27.56, 27.4, 27.2, 27, 26.8, 26.6, 26.4, 26.18, 25.96, 25.74, 25.52, 25.3, 25.06, 24.82, 24.58, 24.34, 24.1, 23.78, 23.46, 23.14, 22.82, 22.5, 22.18, 21.86, 21.54, 21.22, 20.9, 20.52, 20.14, 19.76, 19.38, 19, 18.702, 18.404, 18.107, 17.809
40-49, 42.796, 42.522, 42.248, 41.974, 41.7, 41.04, 40.38, 39.72, 39.06, 38.4, 37.92, 37.44, 36.96, 36.48, 36, 35.6, 35.2, 34.8, 34.4, 34, 33.68, 33.36, 33.04, 32.72, 32.4, 32.14, 31.88, 31.62, 31.36, 31.1, 30.88, 30.66, 30.44, 30.22, 30, 29.74, 29.48, 29.22, 28.96, 28.7, 28.5, 28.3, 28.1, 27.9, 27.7, 27.5, 27.3, 27.1, 26.9, 26.7, 26.54, 26.38, 26.22, 26.06, 25.9, 25.7, 25.5, 25.3, 25.1, 24.9, 24.74, 24.58, 24.42, 24.26, 24.1, 23.94, 23.78, 23.62, 23.46, 23.3, 23.06, 22.82, 22.58, 22.34, 22.1, 21.94, 21.78, 21.62, 21.46, 21.3, 21.04, 20.78, 20.52, 20.26, 20, 19.76, 19.52, 19.28, 19.04, 18.8, 18.44, 18.08, 17.72, 17.36, 17, 16.726, 16.452, 16.178, 15.904
50-59, 36.784, 36.563, 36.342, 36.121, 35.9, 35.12, 34.34, 33.56, 32.78, 32, 31.64, 31.28, 30.92, 30.56, 30.2, 29.88, 29.56, 29.24, 28.92, 28.6, 28.4, 28.2, 28, 27.8, 27.6, 27.44, 27.28, 27.12, 26.96, 26.8, 26.64, 26.48, 26.32, 26.16, 26, 25.84, 25.68, 25.52, 25.36, 25.2, 25.04, 24.88, 24.72, 24.56, 24.4, 24.2, 24, 23.8, 23.6, 23.4, 23.26, 23.12, 22.98, 22.84, 22.7, 22.52, 22.34, 22.16, 21.98, 21.8, 21.68, 21.56, 21.44, 21.32, 21.2, 21.08, 20.96, 20.84, 20.72, 20.6, 20.46, 20.32, 20.18, 20.04, 19.9, 19.74, 19.58, 19.42, 19.26, 19.1, 18.94, 18.78, 18.68, 18.46, 18.3, 18.1, 17.9, 17.7, 17.5, 17.3, 17.04, 16.78, 16.52, 16.26, 16, 15.779, 15.558, 15.337, 15.116
