30-39, 11.20, 11.88, 12.55, 13.23, 13.90, 14.22, 14.54, 14.86, 15.18, 15.50, 15.70, 15.90, 16.10, 16.30, 16.50, 16.70, 16.90, 17.10, 17.30, 17.50, 17.66, 17.82, 17.98, 18.14, 18.30, 18.48, 18.66, 18.84, 19.02, 19.20, 19.38, 19.56, 19.74, 19.92, 20.10, 20.28, 20.46, 20.64, 20.82, 21.00, 21.20, 21.40, 21.60, 21.80, 22.00, 22.16, 22.32, 22.48, 22.64, 22.80, 22.98, 23.16, 23.34, 23.52, 23.70, 23.92, 24.14, 24.36, 24.58, 24.80, 25.00, 25.20, 25.40, 25.60, 25.80, 26.02, 26.24, 26.46, 26.68, 26.90, 27.14, 27.38, 27.62, 27.86, 28.10, 28.40, 28.70, 29.00, 29.30, 29.60, 29.98, 30.36, 30.74, 31.12, 31.50, 31.92, 32.34, 32.76, 33.18, 33.60, 34.12, 34.64, 35.16, 35.68, 36.20, 36.90, 37.60, 38.30, 39.00
40-49, 12.10, 12.88, 13.65, 14.43, 15.20, 15.52, 15.84, 16.16, 16.48, 16.80, 17.10, 17.40, 17.70, 18.00, 18.30, 18.54, 18.78, 19.02, 19.26, 19.50, 19.72, 19.94, 20.16, 20.38, 20.60, 20.82, 21.04, 21.26, 21.48, 21.70, 21.90, 22.10, 22.30, 22.50, 22.70, 22.90, 23.10, 23.30, 23.50, 23.70, 23.88, 24.06, 24.24, 24.42, 24.60, 24.78, 24.96, 25.14, 25.32, 25.50, 25.68, 25.86, 26.04, 26.22, 26.40, 26.62, 26.84, 27.06, 27.28, 27.50, 27.68, 27.86, 28.04, 28.22, 28.40, 28.62, 28.84, 29.06, 29.28, 29.50, 29.74, 29.98, 30.22, 30.46, 30.70, 30.94, 31.18, 31.42, 31.66, 31.90, 32.20, 32.50, 32.80, 33.10, 33.40, 33.74, 34.08, 34.42, 34.76, 35.10, 35.50, 35.90, 36.30, 36.70, 37.10, 37.60, 38.10, 38.60, 39.10
50-59, 13.90, 14.65, 15.40, 16.15, 16.90, 17.34, 17.78, 18.22, 18.66, 19.10, 19.44, 19.78, 20.12, 20.46, 20.80, 21.10, 21.40, 21.70, 22.00, 22.30, 22.56, 22.82, 23.08, 23.34, 23.60, 23.84, 24.08, 24.32, 24.56, 24.80, 25.00, 25.20, 25.40, 25.60, 25.80, 25.98, 26.16, 26.34, 26.52, 26.70, 26.88, 27.06, 27.24, 27.42, 27.60, 27.76, 27.92, 28.08, 28.24, 28.40, 28.58, 28.76, 28.94, 29.12, 29.30, 29.46, 29.62, 29.78, 29.94, 30.10, 30.24, 30.38, 30.52, 30.66, 30.80, 31.00, 31.20, 31.40, 31.60, 31.80, 32.02, 32.24, 32.46, 32.68, 32.90, 33.10, 33.30, 33.50, 33.70, 33.90, 34.12, 34.34, 34.56, 34.78, 35.00, 35.22, 35.44, 35.66, 35.88, 36.10, 36.40, 36.70, 37.00, 37.30, 37.60, 38.15, 38.70, 39.25, 39.80
60-69, 13.90, 14.85, 15.80, 16.75, 17.70, 18.20, 18.70, 19.20, 19.70, 20.20, 20.56, 20.92, 21.28, 21.64, 22.00, 22.26, 22.52, 22.78, 23.04, 23.30, 23.56, 23.82, 24.08, 24.34, 24.60, 24.82, 25.04, 25.26, 25.48, 25.70, 25.90, 26.10, 26.30, 26.50, 26.70, 26.86, 27.02, 27.18, 27.34, 27.50, 27.66, 27.82, 27.98, 28.14, 28.30, 28.48, 28.66, 28.84, 29.02, 29.20, 29.38, 29.56, 29.74, 29.92, 30.10, 30.24, 30.38, 30.52, 30.66, 30.80, 30.94, 31.08, 31.22, 31.36, 31.50, 31.72, 31.94, 32.16, 32.38, 32.60, 32.74, 32.88, 33.02, 33.16, 33.30, 33.52, 33.74, 33.96, 34.18, 34.40, 34.64, 34.88, 35.12, 35.36, 35.60, 35.80, 36.00, 36.20, 36.40, 36.60, 36.92, 37.24, 37.56, 37.88, 38.20, 38.73, 39.25, 39.78, 40.30
70-79, 11.70, 12.88, 14.05, 15.23, 16.40, 16.78, 17.16, 17.54, 17.92, 18.30, 18.88, 19.46, 20.04, 20.62, 21.20, 21.46, 21.72, 21.98, 22.24, 22.50, 22.74, 22.98, 23.22, 23.46, 23.70, 23.92, 24.14, 24.36, 24.58, 24.80, 24.98, 25.16, 25.34, 25.52, 25.70, 25.88, 26.06, 26.24, 26.42, 26.60, 26.80, 27.00, 27.20, 27.40, 27.60, 27.72, 27.84, 27.96, 28.08, 28.20, 28.34, 28.48, 28.62, 28.76, 28.90, 29.22, 29.54, 29.86, 30.18, 30.50, 30.60, 30.70, 30.80, 30.90, 31.00, 31.18, 31.36, 31.54, 31.72, 31.90, 32.10, 32.30, 32.50, 32.70, 32.90, 33.12, 33.34, 33.56, 33.78, 34.00, 34.26, 34.52, 34.78, 35.04, 35.30, 35.52, 35.74, 35.96, 36.18, 36.40, 36.74, 37.08, 37.42, 37.76, 38.10, 38.63, 39.15, 39.68, 40.20
###
B6, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-29, 0.8300, 0.8314, 0.8328, 0.8341, 0.8355, 0.8366, 0.8377, 0.8388, 0.8399, 0.8410, 0.8421, 0.8432, 0.8443, 0.8454, 0.8465, 0.8476, 0.8487, 0.8498, 0.8509, 0.8520, 0.8531, 0.8542, 0.8553, 0.8564, 0.8575, 0.8586, 0.8597, 0.8608, 0.8619, 0.8630, 0.8641, 0.8652, 0.8663, 0.8674, 0.8685, 0.8696, 0.8707, 0.8718, 0.8729, 0.8740, 0.8751, 0.8762, 0.8773, 0.8784, 0.8795, 0.8806, 0.8817, 0.8828, 0.8839, 0.8850, 0.8861, 0.8872, 0.8883, 0.8894, 0.8905, 0.8916, 0.8927, 0.8938, 0.8949, 0.8960, 0.8971, 0.8982, 0.8993, 0.9004, 0.9015, 0.9026, 0.9037, 0.9048, 0.9059, 0.9070, 0.9081, 0.9092, 0.9103, 0.9114, 0.9125, 0.9136, 0.9147, 0.9158, 0.9169, 0.9180, 0.9191, 0.9202, 0.9213, 0.9224, 0.9235, 0.9246, 0.9257, 0.9268, 0.9279, 0.9290, 0.9301, 0.9312, 0.9323, 0.9334, 0.9345, 0.9359, 0.9373, 0.9386, 0.9400
30-39, 0.8400, 0.8415, 0.8430, 0.8445, 0.8460, 0.8472, 0.8484, 0.8496, 0.8508, 0.8520, 0.8532, 0.8544, 0.8556, 0.8568, 0.8580, 0.8592, 0.8604, 0.8616, 0.8628, 0.8640, 0.8652, 0.8664, 0.8676, 0.8688, 0.8700, 0.8712, 0.8724, 0.8736, 0.8748, 0.8760, 0.8772, 0.8784, 0.8796, 0.8808, 0.8820, 0.8832, 0.8844, 0.8856, 0.8868, 0.8880, 0.8892, 0.8904, 0.8916, 0.8928, 0.8940, 0.8952, 0.8964, 0.8976, 0.8988, 0.9000, 0.9012, 0.9024, 0.9036, 0.9048, 0.9060, 0.9072, 0.9084, 0.9096, 0.9108, 0.9120, 0.9132, 0.9144, 0.9156, 0.9168, 0.9180, 0.9192, 0.9204, 0.9216, 0.9228, 0.9240, 0.9252, 0.9264, 0.9276, 0.9288, 0.9300, 0.9312, 0.9324, 0.9336, 0.9348, 0.9360, 0.9372, 0.9384, 0.9396, 0.9408, 0.9420, 0.9432, 0.9444, 0.9456, 0.9468, 0.9480, 0.9492, 0.9504, 0.9516, 0.9528, 0.9540, 0.9555, 0.9570, 0.9585, 0.9600
40-49, 0.8800, 0.8815, 0.8830, 0.8845, 0.8860, 0.8872, 0.8884, 0.8896, 0.8908, 0.8920, 0.8932, 0.8944, 0.8956, 0.8968, 0.8980, 0.8992, 0.9004, 0.9016, 0.9028, 0.9040, 0.9052, 0.9064, 0.9076, 0.9088, 0.9100, 0.9112, 0.9124, 0.9136, 0.9148, 0.9160, 0.9172, 0.9184, 0.9196, 0.9208, 0.9220, 0.9232, 0.9244, 0.9256, 0.9268, 0.9280, 0.9292, 0.9304, 0.9316, 0.9328, 0.9340, 0.9352, 0.9364, 0.9376, 0.9388, 0.9400, 0.9412, 0.9424, 0.9436, 0.9448, 0.9460, 0.9472, 0.9484, 0.9496, 0.9508, 0.9520, 0.9532, 0.9544, 0.9556, 0.9568, 0.9580, 0.9592, 0.9604, 0.9616, 0.9628, 0.9640, 0.9652, 0.9664, 0.9676, 0.9688, 0.9700, 0.9712, 0.9724, 0.9736, 0.9748, 0.9760, 0.9772, 0.9784, 0.9796, 0.9808, 0.9820, 0.9832, 0.9844, 0.9856, 0.9868, 0.9880, 0.9892, 0.9904, 0.9916, 0.9928, 0.9940, 0.9955, 0.9970, 0.9985, 1.0000
50-59, 0.9000, 0.9015, 0.9030, 0.9045, 0.9060, 0.9072, 0.9084, 0.9096, 0.9108, 0.9120, 0.9132, 0.9144, 0.9156, 0.9168, 0.9180, 0.9192, 0.9204, 0.9216, 0.9228, 0.9240, 0.9252, 0.9264, 0.9276, 0.9288, 0.9300, 0.9312, 0.9324, 0.9336, 0.9348, 0.9360, 0.9372, 0.9384, 0.9396, 0.9408, 0.9420, 0.9432, 0.9444, 0.9456, 0.9468, 0.9480, 0.9492, 0.9504, 0.9516, 0.9528, 0.9540, 0.9552, 0.9564, 0.9576, 0.9588, 0.9600, 0.9612, 0.9624, 0.9636, 0.9648, 0.9660, 0.9672, 0.9684, 0.9696, 0.9708, 0.9720, 0.9732, 0.9744, 0.9756, 0.9768, 0.9780, 0.9792, 0.9804, 0.9816, 0.9828, 0.9840, 0.9852, 0.9864, 0.9876, 0.9888, 0.9900, 0.9912, 0.9924, 0.9936, 0.9948, 0.9960, 0.9972, 0.9984, 0.9996, 1.0008, 1.0020, 1.0032, 1.0044, 1.0056, 1.0068, 1.0080, 1.0092, 1.0104, 1.0116, 1.0128, 1.0140, 1.0155, 1.0170, 1.0185, 1.0200
60-69, 0.9100, 0.9115, 0.9130, 0.9145, 0.9160, 0.9172, 0.9184, 0.9196, 0.9208, 0.9220, 0.9232, 0.9244, 0.9256, 0.9268, 0.9280, 0.9292, 0.9304, 0.9316, 0.9328, 0.9340, 0.9352, 0.9364, 0.9376, 0.9388, 0.9400, 0.9412, 0.9424, 0.9436, 0.9448, 0.9460, 0.9472, 0.9484, 0.9496, 0.9508, 0.9520, 0.9532, 0.9544, 0.9556, 0.9568, 0.9580, 0.9592, 0.9604, 0.9616, 0.9628, 0.9640, 0.9652, 0.9664, 0.9676, 0.9688, 0.9700, 0.9712, 0.9724, 0.9736, 0.9748, 0.9760, 0.9772, 0.9784, 0.9796, 0.9808, 0.9820, 0.9832, 0.9844, 0.9856, 0.9868, 0.9880, 0.9892, 0.9904, 0.9916, 0.9928, 0.9940, 0.9952, 0.9964, 0.9976, 0.9988, 1.0000, 1.0012, 1.0024, 1.0036, 1.0048, 1.0060, 1.0072, 1.0084, 1.0096, 1.0108, 1.0120, 1.0132, 1.0144, 1.0156, 1.0168, 1.0180, 1.0192, 1.0204, 1.0216, 1.0228, 1.0240, 1.0255, 1.0270, 1.0285, 1.0300
###
B8, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-29, 0.71, 0.7114, 0.7128, 0.7141, 0.7155, 0.7166, 0.7177, 0.7188, 0.7199, 0.721, 0.7221, 0.7232, 0.7343, 0.7254, 0.7265, 0.7276, 0.7287, 0.7298, 0.7309, 0.732, 0.7331, 0.7342, 0.7353, 0.7364, 0.7375, 0.7386, 0.7397, 0.7408, 0.7419, 0.743, 0.7441, 0.7452, 0.7463, 0.7474, 0.7485, 0.7496, 0.7507, 0.7518, 0.7529, 0.754, 0.7551, 0.7562, 0.7573, 0.7584, 0.7595, 0.7606, 0.7617, 0.7628, 0.7639, 0.765, 0.7661, 0.7672, 0.7683, 0.7694, 0.7705, 0.7716, 0.7727, 0.7738, 0.7749, 0.776, 0.7771, 0.7782, 0.7793, 0.7804, 0.7815, 0.7826, 0.7837, 0.7848, 0.7859, 0.787, 0.7881, 0.7892, 0.7903, 0.7914, 0.7925, 0.7936, 0.7947, 0.7958, 0.7969, 0.798, 0.7991, 0.8002, 0.8013, 0.8024, 0.8035, 0.8046, 0.8057, 0.8068, 0.8079, 0.809, 0.8101, 0.8112, 0.8123, 0.8134, 0.8145, 0.8159, 0.8173, 0.8186, 0.82
30-39, 0.72, 0.7215, 0.723, 0.7245, 0.726, 0.7272, 0.7284, 0.7296, 0.7308, 0.732, 0.7332, 0.7344, 0.7356, 0.7368, 0.738, 0.7392, 0.7404, 0.7416, 0.7428, 0.744, 0.7452, 0.7464, 0.7476, 0.7488, 0.75, 0.7512, 0.7524, 0.7536, 0.7548, 0.756, 0.7572, 0.7584, 0.7596, 0.7808, 0.762, 0.7632, 0.7644, 0.7656, 0.7668, 0.768, 0.7692, 0.7704, 0.7716, 0.7728, 0.774, 0.7752, 0.7764, 0.7776, 0.7788, 0.78, 0.7812, 0.7824, 0.7836, 0.7848, 0.786, 0.7872, 0.7884, 0.7896, 0.7908, 0.792, 0.7932, 0.7944, 0.7956, 0.7968, 0.798, 0.7992, 0.8004, 0.8016, 0.8028, 0.804, 0.8052, 0.8064, 0.8076, 0.8088, 0.81, 0.8112, 0.8124, 0.8136, 0.8148, 0.816, 0.8172, 0.8184, 0.8196, 0.8208, 0.822, 0.8232, 0.8244, 0.8256, 0.8268, 0.828, 0.8292, 0.8304, 0.8316, 0.8328, 0.834, 0.8355, 0.837, 0.8385, 0.84
40-49, 0.73, 0.7318, 0.7335, 0.7353, 0.737, 0.7384, 0.7398, 0.7412, 0.7426, 0.744, 0.7454, 0.7468, 0.7482, 0.7496, 0.751, 0.7524, 0.7538, 0.7552, 0.7556, 0.758, 0.7594, 0.7608, 0.7622, 0.7636, 0.765, 0.7664, 0.7678, 0.7692, 0.7706, 0.772, 0.7734, 0.7748, 0.7762, 0.7776, 0.779, 0.7804, 0.7818, 0.7832, 0.7846, 0.786, 0.7874, 0.7888, 0.7902, 0.7916, 0.793, 0.7944, 0.7958, 0.7972, 0.7986, 0.8, 0.8014, 0.8028, 0.8042, 0.8056, 0.807, 0.8084, 0.8098, 0.8112, 0.8126, 0.814, 0.8154, 0.8168, 0.8182, 0.8196, 0.821, 0.8224, 0.8238, 0.8252, 0.8266, 0.828, 0.8294, 0.8308, 0.8322, 0.8336, 0.835, 0.8364, 0.8378, 0.8392, 0.8406, 0.842, 0.8434, 0.8448, 0.8462, 0.8476, 0.849, 0.8504, 0.8518, 0.8532, 0.8546, 0.856, 0.8574, 0.8588, 0.8602, 0.8616, 0.863, 0.8648, 0.8665, 0.8683, 0.87
50-59, 0.74, 0.7418, 0.7435, 0.7453, 0.747, 0.7484, 0.7498, 0.7512, 0.7526, 0.754, 0.7554, 0.7568, 0.7582, 0.7596, 0.761, 0.7624, 0.7638, 0.7652, 0.7666, 0.768, 0.7694, 0.7708, 0.7722, 0.7736, 0.775, 0.7764, 0.7778, 0.7792, 0.7806, 0.782, 0.7834, 0.7848, 0.7862, 0.7876, 0.789, 0.7904, 0.7918, 0.7932, 0.7946, 0.796, 0.7974, 0.7988, 0.8002, 0.8016, 0.803, 0.8044, 0.8058, 0.8072, 0.8086, 0.81, 0.8114, 0.8128, 0.8142, 0.8156, 0.817, 0.8184, 0.8198, 0.8212, 0.8226, 0.824, 0.8254, 0.8268, 0.8282, 0.8296, 0.831, 0.8324, 0.8338, 0.8352, 0.8366, 0.838, 0.8394, 0.8408, 0.8422, 0.8436, 0.845, 0.8464, 0.8478, 0.8492, 0.8506, 0.852, 0.8534, 0.8548, 0.8562, 0.8576, 0.859, 0.8604, 0.8618, 0.8632, 0.8646, 0.866, 0.8674, 0.8688, 0.8702, 0.8716, 0.873, 0.8748, 0.8765, 0.8783, 0.88
60-69, 0.76, 0.7618, 0.7635, 0.7653, 0.767, 0.7684, 0.7698, 0.7712, 0.7726, 0.774, 0.7754, 0.7768, 0.7782, 0.7796, 0.781, 0.7824, 0.7838, 0.7852, 0.7866, 0.788, 0.7894, 0.7908, 0.7922, 0.7936, 0.795, 0.7964, 0.7978, 0.7992, 0.8006, 0.802, 0.8034, 0.8048, 0.8062, 0.8076, 0.809, 0.8104, 0.8118, 0.8132, 0.8146, 0.816, 0.8174, 0.8188, 0.8202, 0.8216, 0.823, 0.8244, 0.8258, 0.8272, 0.8286, 0.83, 0.8314, 0.8328, 0.8342, 0.8356, 0.837, 0.8384, 0.8398, 0.8412, 0.8426, 0.844, 0.8454, 0.8468, 0.8482, 0.8496, 0.851, 0.8524, 0.8538, 0.8552, 0.8566, 0.858, 0.8594, 0.8608, 0.8622, 0.8636, 0.865, 0.8664, 0.8678, 0.8692, 0.8706, 0.872, 0.8734, 0.8748, 0.8762, 0.8776, 0.879, 0.8804, 0.8818, 0.8832, 0.8846, 0.886, 0.8874, 0.8888, 0.8902, 0.8916, 0.893, 0.8948, 0.8965, 0.8983, 0.9
###
C1, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
